time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-08-04T13:22:56.174Z,71.4671,138.4826,10,4.3,mb,,79,3.062,0.42,us,us600050jx,2019-10-19T21:42:09.040Z,"193km NNE of Ust'-Kuyga, Russia",earthquake,9.2,1.9,0.093,33,reviewed,us,us
2019-05-21T03:45:11.918Z,75.493,110.1978,10,4.8,mb,,43,6.534,0.78,us,us70003ntt,2019-08-13T14:30:45.040Z,"167km NNW of Nordvik, Russia",earthquake,9.2,1.9,0.032,308,reviewed,us,us
2019-05-13T00:43:33.365Z,79.4127,123.9058,10,5.4,mww,,20,7.916,0.72,us,us70003k5r,2019-08-01T17:15:15.040Z,"East of Severnaya Zemlya",earthquake,7,1.8,0.039,62,reviewed,us,us
2018-08-08T03:06:10.780Z,71.9804,134.4512,15.07,4.4,mb,,118,11.326,0.48,us,us1000g56d,2018-10-17T18:11:49.040Z,"196km ENE of Tiksi, Russia",earthquake,13.9,5.3,0.052,108,reviewed,us,us
2018-04-27T00:27:47.080Z,79.401,123.8181,10,4.6,mb,,57,7.907,0.9,us,us1000dt51,2018-07-25T21:37:14.040Z,"East of Severnaya Zemlya",earthquake,8.8,1.9,0.036,237,reviewed,us,us
2018-03-03T00:55:17.630Z,72.1417,133.8758,13.71,4.1,mb,,116,1.647,0.68,us,us1000d2cr,2018-05-27T01:06:10.040Z,"180km ENE of Tiksi, Russia",earthquake,11.4,5.8,0.067,60,reviewed,us,us
2018-01-16T07:46:04.860Z,71.9898,127.7396,15.35,4.4,mb,,90,0.503,0.58,us,us2000cqxp,2018-04-10T01:11:42.040Z,"51km NW of Tiksi, Russia",earthquake,11.7,5.4,0.092,34,reviewed,us,us
2017-02-23T07:47:12.740Z,74.4295,114.0094,10,4.3,mb,,71,5.168,0.49,us,us20008lpv,2017-05-17T01:19:36.040Z,"87km ENE of Nordvik, Russia",earthquake,10.1,1.9,0.086,38,reviewed,us,us
2016-12-10T01:45:35.130Z,75.0808,133.2404,10,4.4,mb,,61,3.685,0.77,us,us200081ji,2017-03-09T02:14:25.040Z,"Laptev Sea",earthquake,6.3,1.8,0.112,23,reviewed,us,us
2016-11-24T22:50:45.630Z,72.7583,124.6821,10,4,mb,,101,1.712,0.56,us,us10007eay,2017-02-15T23:21:40.040Z,"186km NW of Tiksi, Russia",earthquake,10.1,2,0.165,10,reviewed,us,us
2016-08-19T09:59:26.180Z,71.8244,129.8185,18.95,4.7,mb,,60,0.356,0.81,us,us10006gg2,2016-11-19T04:58:30.040Z,"36km ENE of Tiksi, Russia",earthquake,10.6,4.7,0.063,77,reviewed,us,us
2016-03-09T19:05:07.470Z,74.8268,134.511,14.53,4,mb,,157,3.601,0.54,us,us10004wta,2016-05-16T18:01:49.040Z,"Laptev Sea",earthquake,14.5,2.3,0.139,14,reviewed,us,us
2015-09-30T04:47:11.860Z,74.8326,134.0855,15.26,4.3,mb,,102,3.552,0.61,us,us10003n0p,2015-12-28T23:08:51.040Z,"Laptev Sea",earthquake,10.1,5.2,0.137,15,reviewed,us,us
2015-09-10T12:41:46.490Z,70.2498,128.3024,21.58,4.6,mb,,56,1.403,0.77,us,us20003hqm,2015-12-12T00:42:45.040Z,"161km S of Tiksi, Russia",earthquake,7.7,4.2,0.09,37,reviewed,us,us
2015-08-09T10:11:01.240Z,77.0175,125.2453,10,4.5,mb,,98,5.5,0.43,us,us1000350h,2015-11-06T18:06:29.040Z,"Laptev Sea",earthquake,14.2,1.9,0.164,11,reviewed,us,us
2015-05-26T04:41:24.880Z,75.3898,112.0005,14.98,4.2,mb,,68,6.084,0.53,us,us20002mad,2015-07-29T01:35:44.040Z,"152km N of Nordvik, Russia",earthquake,10.3,5.1,0.121,19,reviewed,us,us
2014-12-12T07:42:57.640Z,74.2143,130.4642,10,4.4,mb,,84,2.637,0.91,us,usc000tcgy,2015-03-04T21:54:59.040Z,"286km N of Tiksi, Russia",earthquake,7.2,1.7,0.144,15,reviewed,us,us
2014-06-22T23:58:23.870Z,78.4758,125.8772,10,4.9,mb,,26,6.923,0.73,us,usc000rk3s,2014-09-19T17:23:10.000Z,"East of Severnaya Zemlya",earthquake,,1.8,0.032,337,reviewed,us,us
2014-06-09T13:13:04.760Z,73.3303,124.6914,14.98,4.5,mb,,123,11.502,1.01,us,usc000rn2r,2014-08-30T17:02:56.000Z,"230km NW of Tiksi, Russia",earthquake,,5.1,0.18,11,reviewed,us,us
2014-06-01T08:52:44.100Z,75.0782,133.6472,10,4.7,mb,,48,3.724,0.86,us,usc000r9su,2014-08-26T01:21:08.000Z,"Laptev Sea",earthquake,,1.8,0.044,177,reviewed,us,us
2014-05-29T05:07:33.450Z,70.8438,139.7606,10,4.8,mb,,51,3.608,1.18,us,usc000r8g7,2014-08-26T01:21:02.000Z,"172km N of Deputatskiy, Russia",earthquake,,1.9,0.045,174,reviewed,us,us
2014-04-11T13:27:05.920Z,74.9161,133.9098,10,4.2,mb,,127,3.606,1.12,us,usb000qpsn,2014-07-01T02:37:57.000Z,"Laptev Sea",earthquake,,1.9,0.098,34,reviewed,us,us
2014-01-14T03:43:05.100Z,78.7939,125.882,10,4.1,mb,,146,7.24,0.56,us,usc000meer,2014-03-15T03:40:19.000Z,"East of Severnaya Zemlya",earthquake,,2,0.303,3,reviewed,us,us
2013-09-28T14:37:33.410Z,77.168,129.6752,10.06,4.6,mb,,94,5.57,1.21,us,usb000k1kl,2013-12-13T09:00:35.000Z,"Laptev Sea",earthquake,,2.9,0.097,,reviewed,us,us
2013-09-09T19:04:18.150Z,76.2069,133.4011,14.47,4.6,mb,,69,4.766,1.04,us,usb000jmgy,2013-11-15T03:20:30.000Z,"Laptev Sea",earthquake,,4.4,0.076,,reviewed,us,us
2013-08-07T18:29:13.290Z,75.9508,132.3474,10,4.5,mb,,120,4.448,0.81,us,usb000j2wv,2013-10-12T21:32:31.000Z,"Laptev Sea",earthquake,,1.9,0.118,,reviewed,us,us
2013-04-11T20:01:08.510Z,74.297,130.057,10,4.5,mb,31,86.7,,0.93,us,usp000k065,2014-11-07T01:50:32.968Z,"Laptev Sea",earthquake,,,,5,reviewed,us,us
2013-03-22T06:39:15.830Z,78.081,125.855,10,4.3,mb,68,66.2,,1.07,us,us2013nbb5,2014-11-07T01:50:22.352Z,"East of Severnaya Zemlya",earthquake,,,,28,reviewed,us,us
2013-02-07T03:33:48.620Z,74.318,129.947,10,4.3,mb,45,69.8,,0.96,us,usp000jz3y,2014-11-07T01:50:03.314Z,"near the coast of northwestern Sakha, Russia",earthquake,,,,18,reviewed,us,us
2012-07-27T14:01:27.420Z,79.192,123.954,10,4.4,mb,126,55.8,,0.84,us,usp000jph5,2014-11-07T01:48:24.473Z,"east of Severnaya Zemlya",earthquake,,,,52,reviewed,us,us
2012-04-07T00:15:00.770Z,74.964,136.45,10,4.4,mb,16,82.5,,1.19,us,usp000jhbq,2014-11-07T01:47:26.781Z,"New Siberian Islands, Sakha, Russia",earthquake,,,,4,reviewed,us,us
2012-04-07T00:12:19.920Z,75.135,136.429,10,4.4,mb,33,60.6,,0.87,us,usp000jhbp,2014-11-07T01:47:26.778Z,"New Siberian Islands, Sakha, Russia",earthquake,,,,9,reviewed,us,us
2012-04-05T18:42:30.210Z,75.054,136.513,10,4.7,mb,142,53.6,,0.96,us,usp000jh9q,2014-11-07T01:47:26.395Z,"New Siberian Islands, Sakha, Russia",earthquake,,,,75,reviewed,us,us
2011-12-27T20:25:36.020Z,74.068,134.203,10,4.7,mb,32,98.1,,1.33,us,usp000jcqn,2014-11-07T01:46:38.128Z,"Laptev Sea",earthquake,,,,12,reviewed,us,us
