date,time,latitude,longitude,depth,magnitude,magtype
1909-04-10,18:46:54,77.5,128.0,35.0,6.75,MS
1912-04-13,02:39:42,80.0,100.0,35.0,5.6,MS
1918-11-30,06:48:46,70.5397,130.5124,15.0,6.4,MS
1923-05-30,08:30:40,77.0,127.0,35.0,6.0,MS
1923-05-30,17:56:42,77.0,127.0,35.0,6.0,MS
1926-04-09,10:04:50,74.0,125.0,35.0,5.75,MS
1927-01-07,10:43:12,80.0,117.0,35.0,5.6,MS
1927-11-14,00:12:08,70.2211,128.9387,15.0,6.57,MS
1927-11-14,04:56:33,70.0937,128.731,15.0,6.73,MS
1927-11-15,21:48:46,70.5,128.0,35.0,6.0,MS
1928-02-03,13:47:35,70.5,128.0,35.0,6.25,MS
1928-08-16,07:36:37,70.0,126.0,35.0,5.6,MS
1964-07-21,09:56:17,71.9745,129.9732,21.6163,5.4,mb
1964-07-27,01:50:48,75.5749,113.421,10.0,4.46,mb
1964-08-25,13:47:18,78.0259,126.3361,12.155700000000001,6.34,mb
1964-09-01,12:45:23,76.1,120.8,33.0,4.3,mb
1965-05-24,03:39:25,74.5972,132.7739,10.0,4.66,mb
1967-07-23,14:29:57,78.3504,132.2177,10.0,4.56,mb
1967-09-08,12:44:44,77.9119,126.4711,24.0628,4.4,mb
1968-03-17,17:46:50,79.8202,121.4373,10.0,4.55,mb
1968-05-18,10:20:08,76.8573,126.5035,10.0,4.3,mb
1968-06-23,04:09:21,76.0839,124.2681,10.0,4.21,mb
1969-04-07,20:26:28,76.4843,131.2626,10.325899999999999,5.53,mb
1969-08-22,19:40:53,76.5793,131.2876,10.0,4.66,mb
1970-02-21,07:05:06,77.3959,124.8722,10.0,4.43,mb
1970-04-17,09:06:59,75.0645,134.2656,27.7722,4.69,mb
1971-01-04,12:09:40,71.9,132.6,12.0,3.8,M
1972-10-07,01:33:36,73.2549,134.8486,10.0,4.76,mb
1973-01-23,21:39:36,75.0,114.0,12.0,4.5,M
1973-12-15,23:31:43,74.0852,147.0889,22.7945,4.95,mb
1974-08-29,08:37:19,73.1829,123.1526,10.0,4.78,mb
1974-11-27,20:38:04,79.248,124.2488,25.4393,4.31,mb
1975-08-12,14:59:59,70.702,126.9463,0.0,5.13,mb
1976-07-20,05:32:11,77.9651,126.5468,19.8629,4.87,mb
1976-08-22,20:03:49,72.8,124.4,10.0,3.3,M
1976-08-22,23:43:40,74.3,141.2,10.0,3.8,M
1977-01-31,08:35:35,76.7576,131.3222,10.0,4.72,mb
1977-04-23,14:49:08,75.0713,135.1547,26.9318,5.04,mb
1978-09-07,14:00:56,74.1639,146.7678,10.0,4.6,mb
1980-02-01,17:30:28,73.0967,122.5227,18.8014,5.4,mb
1980-04-24,23:32:47,75.1381,120.3221,10.0,4.35,mb
1980-10-23,19:07:43,77.719,126.4897,10.0,4.5,mb
1981-01-22,00:26:57,73.0011,122.4629,10.0,4.5,mb
1983-06-10,02:13:25,75.4521,122.5931,19.104599999999998,5.53,mb
1983-10-11,03:39:11,75.5224,122.1326,10.0,4.69,mb
1984-04-27,23:55:09,77.7502,125.482,10.0,4.56,mb
1984-08-12,15:28:07,74.1571,135.0822,26.907,5.02,mb
1984-08-12,18:34:41,74.413,134.6081,10.0,4.51,mb
1984-08-18,17:36:23,79.927,122.9974,10.0,4.69,mb
1985-06-03,18:32:54,78.0619,126.5285,10.0,5.13,mb
1986-05-19,13:52:32,75.5686,111.2832,10.0,4.65,mb
1986-06-15,06:55:36,72.625,125.1562,10.0,4.78,mb
1986-08-05,05:20:32,76.1443,146.0367,10.0,4.67,mb
1987-02-22,01:22:31,78.8108,126.2354,14.6201,5.32,mb
1987-09-22,22:05:17,76.3898,134.4253,12.716700000000001,5.62,mb
1987-10-08,06:19:19,73.6651,119.0494,10.0,4.65,mb
1987-11-25,17:28:02,73.5446,118.6337,10.0,5.09,mb
1988-01-01,14:36:11,74.6225,131.1687,13.11,5.1,mb
1988-03-21,23:31:25,77.5723,125.6397,24.4544,6.12,mb
1988-04-05,18:25:40,76.4306,129.5464,10.0,4.44,mb
1989-07-28,20:19:04,71.69,130.3,12.0,1.1,M
1989-07-29,18:50:06,70.79,129.46,30.0,2.0,M
1989-07-31,18:01:02,70.44,126.77,82.0,2.3,M
1989-08-01,11:55:19,70.92,128.34,10.0,1.4,M
1989-08-03,01:21:26,71.58,128.97,1.0,1.1,M
1989-08-04,04:22:26,71.53,128.84,2.5,0.9,M
1989-08-05,01:03:43,70.56,127.49,82.0,1.6,M
1989-08-05,01:10:00,70.34,127.57,70.0,2.1,M
1989-08-05,02:30:11,70.62,128.58,11.0,1.9,M
1989-08-05,05:55:52,71.87,130.05,11.0,0.7,M
1989-08-05,06:55:52,76.0549,134.2724,9.093,5.3,mb
1989-08-05,10:49:24,76.0705,133.7663,10.0891,4.65,mb
1989-08-06,03:29:53,71.83,130.49,7.0,0.8,M
1989-08-08,01:13:11,71.71,130.56,5.0,1.1,M
1989-08-09,03:02:30,71.77,130.57,4.0,0.5,M
1989-08-11,21:08:29,72.28,130.74,8.0,0.4,M
1989-08-13,23:20:58,72.36,131.01,7.0,0.1,M
1989-08-16,22:19:07,71.48,130.39,33.0,1.1,M
1989-08-17,02:15:00,72.3,130.55,17.0,0.4,M
1989-08-17,02:37:02,76.5724,134.3548,10.0,4.0,mb
1989-08-17,07:41:34,72.22,128.44,65.0,0.8,M
1989-08-17,21:58:57,72.33,131.1,9.0,0.2,M
1989-08-18,04:13:46,72.19,129.07,9.0,1.2,M
1989-08-21,13:07:49,72.21,130.85,9.0,0.3,M
1989-09-26,00:18:51,76.1,134.3712,10.0,4.58,mb
1989-10-02,10:00:33,76.3192,133.6874,10.0,4.34,mb
1990-03-13,00:33:01,73.2911,134.6698,15.7458,5.51,mb
1990-06-09,18:24:32,75.0884,113.344,10.0,4.99,mb
1990-06-28,22:03:49,75.9895,134.2725,10.0,4.29,mb
1991-03-01,01:57:05,72.1393,126.8703,25.613799999999998,5.3,mb
1991-03-03,01:57:04,72.17,126.74,26.5,5.0,M
1991-03-22,17:02:22,79.8123,123.7646,15.972100000000001,4.8,mb
1991-03-29,11:34:24,79.6393,124.1204,19.7897,4.8,mb
1991-11-09,11:00:51,79.3261,127.006,10.0,4.48,mb
1992-02-15,04:52:06,75.9108,125.0062,14.672,4.98,mb
1992-02-17,00:01:59,79.1405,124.5021,15.8391,5.96,mb
1992-02-17,07:51:56,78.8532,123.2295,10.0,4.48,mb
1992-12-28,15:52:30,79.421,125.1401,10.0,3.88,mb
1993-01-21,13:43:15,78.8446,125.6066,10.0,5.14,mb
1993-02-12,10:52:06,79.143,124.4503,16.5656,4.99,mb
1993-03-24,22:43:31,71.6569,130.0173,22.896,4.82,mb
1993-04-11,23:22:52,78.1913,126.2422,24.3191,4.81,mb
1993-05-04,20:48:52,77.0688,131.6524,12.648700000000002,4.76,mb
1993-05-17,13:18:43,77.9918,126.2579,10.0,4.33,mb
1993-10-05,21:28:07,77.6296,126.4101,27.740099999999998,5.08,mb
1994-03-31,22:28:38,71.7043,128.3065,10.0,3.94,mb
1994-09-23,02:11:38,76.2857,145.5634,10.0,4.63,mb
1995-01-16,19:20:26,79.3524,123.2509,10.0,4.47,mb
1995-01-31,12:43:41,72.6582,131.3359,10.0,4.36,mb
1995-06-10,18:58:05,74.7694,113.7533,10.0,4.16,mb
1996-04-04,03:53:21,73.2723,132.1287,10.0,3.62,mb
1996-04-28,01:40:41,71.48,130.52,0.0,3.3,mb
1996-06-22,16:47:16,75.8078,134.9807,21.7807,5.65,mb
1996-09-14,19:29:43,75.5357,110.4155,10.0,4.12,mb
1996-09-14,23:19:59,72.184,126.4778,10.0,3.91,mb
1996-09-15,00:21:25,72.4153,126.3352,14.0819,4.41,mb
1996-09-18,20:32:21,72.1409,126.3851,10.0,3.3,mb
1996-09-18,23:37:30,72.3147,125.9972,10.0,3.71,mb
1996-09-19,03:17:21,72.304,125.7561,10.0,3.58,mb
1996-09-24,13:26:04,72.1742,126.1619,10.0,3.7,mb
1996-09-26,19:17:52,75.868,134.242,10.0,3.69,mb
