date,time,latitude,longitude,depth,magnitude,magtype
2019-08-04,13:22:56,71.4671,138.4826,10,4.3,mb
2019-05-21,03:45:11,75.493,110.1978,10,4.8,mb
2019-05-13,00:43:33,79.4127,123.9058,10,5.4,mww
2018-08-08,03:06:10,71.9804,134.4512,15.07,4.4,mb
2018-04-27,00:27:47,79.401,123.8181,10,4.6,mb
2018-03-03,00:55:17,72.1417,133.8758,13.71,4.1,mb
2018-01-16,07:46:04,71.9898,127.7396,15.35,4.4,mb
2017-02-23,07:47:12,74.4295,114.0094,10,4.3,mb
2016-12-10,01:45:35,75.0808,133.2404,10,4.4,mb
2016-11-24,22:50:45,72.7583,124.6821,10,4,mb
2016-08-19,09:59:26,71.8244,129.8185,18.95,4.7,mb
2016-03-09,19:05:07,74.8268,134.511,14.53,4,mb
2015-09-30,04:47:11,74.8326,134.0855,15.26,4.3,mb
2015-09-10,12:41:46,70.2498,128.3024,21.58,4.6,mb
2015-08-09,10:11:01,77.0175,125.2453,10,4.5,mb
2015-05-26,04:41:24,75.3898,112.0005,14.98,4.2,mb
2014-12-12,07:42:57,74.2143,130.4642,10,4.4,mb
2014-06-22,23:58:23,78.4758,125.8772,10,4.9,mb
2014-06-09,13:13:04,73.3303,124.6914,14.98,4.5,mb
2014-06-01,08:52:44,75.0782,133.6472,10,4.7,mb
2014-05-29,05:07:33,70.8438,139.7606,10,4.8,mb
2014-04-11,13:27:05,74.9161,133.9098,10,4.2,mb
2014-01-14,03:43:05,78.7939,125.882,10,4.1,mb
2013-09-28,14:37:33,77.168,129.6752,10.06,4.6,mb
2013-09-09,19:04:18,76.2069,133.4011,14.47,4.6,mb
2013-08-07,18:29:13,75.9508,132.3474,10,4.5,mb
2013-04-11,20:01:08,74.297,130.057,10,4.5,mb
2013-03-22,06:39:15,78.081,125.855,10,4.3,mb
2013-02-07,03:33:48,74.318,129.947,10,4.3,mb
2012-07-27,14:01:27,79.192,123.954,10,4.4,mb
2012-04-07,00:15:00,74.964,136.45,10,4.4,mb
2012-04-07,00:12:19,75.135,136.429,10,4.4,mb
2012-04-05,18:42:30,75.054,136.513,10,4.7,mb
2011-12-27,20:25:36,74.068,134.203,10,4.7,mb
2011-09-29,16:08:14,79.817,123.865,10,4.4,mb
2011-08-20,05:57:41,79.361,124.16,10,4.5,mb
2011-07-23,17:59:22,74.397,132.939,10,4.9,mb
2011-07-16,06:42:23,74.276,134.586,10,4.4,mb
2011-06-07,17:13:23,74.872,131.573,10,4.1,mb
2011-05-20,04:51:49,72.813,121.29,47.2,4.8,mb
2011-05-16,06:49:59,72.776,120.688,10,4.1,mb
2010-12-22,23:33:55,71.688,128.901,20.6,4.6,mb
2010-11-23,00:57:09,74.807,133.335,22,4.9,mb
2010-08-22,19:25:03,75.787,132.42,10,4.1,mb
2010-07-12,10:06:45,72.942,123.308,29.1,4.9,mb
2009-10-07,00:30:01,73.261,134.631,71.2,4.5,mb
2008-07-04,04:55:05,75.398,133.948,10,5,mwc
2008-06-22,19:45:28,77.097,131.085,10,4.3,mb
2008-05-15,15:29:06,74.849,133.994,10,3.5,mb
2008-01-02,05:18:02,74.118,114.684,10,4,mb
2007-12-13,20:48:01,72.942,126.872,10,0,
2007-07-19,06:18:44,72.261,125.712,10,4.4,mb
2007-07-12,20:29:25,72.29,125.973,10,0,
2007-06-06,14:21:29,72.584,125.154,41.5,3.9,mb
2007-05-17,21:05:25,77.433,123.47,10,4,mb
2007-04-11,17:44:28,78.815,125.657,10,4.3,mb
2007-03-14,08:51:09,77.753,126.512,10,4.5,mb
2007-02-27,16:54:05,77.924,126.471,10,4.9,mb
2007-01-11,01:59:46,74.352,146.901,10,4.5,mb
2006-12-17,11:39:09,74.679,132.31,10,0,
2006-04-03,15:18:06,74.841,128.333,10,3.8,mb
2006-03-28,18:36:56,76.606,130.39,10,4.5,mb
2006-02-09,05:38:21,79.94,123.955,10,4.1,mb
2005-08-15,21:24:34,75.009,133.272,10,4.4,mb
2004-10-02,11:06:01,73.83,114.482,10,4.5,mb
2004-06-28,02:11:59,74.078,134.559,10,4.8,mb
2004-02-04,22:55:35,77.979,126.681,10,0,
2004-01-02,21:56:45,74.083,134.41,10,0,
2003-12-07,09:16:12,74.08,134.821,10,5.1,mwc
2003-12-07,09:10:17,74.139,134.779,10,4.9,mb
2003-12-07,09:09:18,74.081,134.601,10,4.6,mb
2003-07-26,16:41:44,79.647,123.192,10,4.4,mb
2003-03-19,16:31:36,76.088,131.885,10,4,mb
2003-03-04,10:45:35,77.424,125.497,10,3.9,mb
2002-09-27,02:15:53,74.988,133.719,10,4.2,mb
2002-06-04,00:05:07,75.634,143.746,10,4.8,mb
2001-11-15,19:35:08,73.628,114.795,10,,
2001-06-08,04:59:05,72.675,124.016,61.5,4.7,mb
2000-09-16,17:45:17,78.968,124.468,10,4.6,mb
2000-07-10,04:17:36,74.333,146.972,10,4.6,mb
2000-04-30,17:16:28,74.061,113.806,10,4,mb
2000-01-16,15:22:50,79.808,122.943,10,4.5,mb
2000-01-16,14:56:50,79.78,122.471,10,3.3,mb
2000-01-16,12:29:12,79.802,123.076,10,4.5,mb
2000-01-15,21:27:25,79.721,122.826,10,4.2,mb
1999-12-02,20:20:52,75.989,134.144,10,4.3,mb
1999-10-27,05:05:07,79.221,124.397,10,4.8,mb
1999-03-24,03:26:32,75.559,121.654,10,4.5,mb
1998-10-23,12:30:09,75.901,133.999,10,4.2,mb
1998-08-23,09:59:02,72.826,129.583,10,4.5,mb
1998-02-18,18:31:56,71.448,130.537,10,,
1997-04-19,15:26:33,78.445,125.821,10,5.5,mwb
1997-04-16,08:42:27,78.51,125.515,10,4.8,mb
1997-03-17,11:20:10,73.768,142.933,10,3.9,mb
1997-03-14,21:04:10,72.92,117.476,10,,
1996-11-11,08:46:49,74.679,133.624,10,3.9,mb
1996-10-23,20:41:39,77.119,125.524,30,3.6,mb
1996-09-24,13:26:06,72.42,126.215,33,,
1996-09-18,23:37:27,72.061,125.972,10,,
1996-09-18,20:32:19,72.175,126.339,10,,
1996-09-15,00:21:22,72.206,126.335,10,4.8,ms
1996-09-14,23:20:00,72.252,126.786,33,,
1996-09-14,19:29:44,75.443,110.473,33,,
1996-06-22,16:47:12,75.82,134.619,10,5.7,mwc
1995-01-31,12:43:42,72.538,132.135,33,4.3,mb
1995-01-16,19:20:23,79.204,123.756,10,4.5,mb
1994-09-23,02:11:37,76.401,145.754,10,4.6,mb
1993-10-05,21:28:06,77.727,126.454,33.3,5.2,mw
