date,time,latitude,longitude,depth,magnitude,magtype
2003-01-04,20:57:23,72.1,132.1,,2.4,M
2003-02-26,13:28:04,71.3,138.9,,2.9,M
2003-03-04,10:45:34,77.53,125.12,10.0,2.8,M
2003-03-05,14:01:35,77.45,125.55,10.0,2.5,M
2003-03-19,16:31:36,76.13,131.37,10.0,3.3,M
2003-07-26,16:41:44,79.42,122.73,10.0,3.2,M
2003-11-03,13:16:44,70.6,143.0,,2.6,M
2003-12-07,09:09:18,74.16,134.33,10.0,3.6,M
2003-12-07,09:10:17,74.14,134.58,10.0,3.5,M
2003-12-07,09:16:12,74.07,134.73,10.0,4.1,M
2004-01-02,21:56:44,74.31,133.73,,3.6,M
2004-02-04,22:55:33,77.98,126.14,10.0,2.4,M
2004-02-24,21:16:33,73.06,130.25,,2.7,M
2004-03-11,10:44:10,70.86,140.53,,1.6,M
2004-06-02,12:49:36,71.82,127.42,,1.1,M
2004-06-28,02:11:59,74.08,134.56,,4.7,M
2004-08-27,17:28:43,72.31,129.11,,1.7,M
2004-09-18,05:08:53,71.91,130.4,,1.7,M
2004-09-19,21:29:22,72.32,128.24,,1.7,M
2004-10-02,11:06:04,73.8,114.5,,3.9,M
2004-10-02,17:02:57,71.52,130.24,,2.0,M
2004-10-06,09:28:31,71.75,130.21,,2.0,M
2004-10-06,18:32:08,71.93,131.33,,2.0,M
2004-10-10,17:12:22,73.0,125.33,,2.0,M
2004-11-08,12:38:17,72.01,131.15,,1.4,M
2004-11-11,12:48:54,72.79,123.19,,1.4,M
2004-12-11,17:51:17,71.42,138.49,,2.4,M
2005-03-15,18:23:05,71.47,130.42,,2.4,M
2005-04-23,20:32:49,71.73,134.8,,1.5,M
2005-04-25,14:03:20,71.02,129.72,,1.4,M
2005-04-28,01:26:37,71.15,129.71,,1.5,M
2005-05-12,03:39:57,72.1,131.52,,2.6,M
2005-05-23,08:00:28,72.37,130.79,,2.5,M
2005-06-28,16:43:19,71.09,129.7,,1.8,M
2005-07-05,18:25:33,70.49,135.81,,1.6,M
2005-08-15,21:24:34,75.0,133.23,,4.2,M
2005-08-16,09:19:12,71.45,129.78,,1.3,M
2005-08-31,03:17:11,70.97,131.93,,3.0,M
2005-12-05,09:31:36,72.06,123.44,,2.2,M
2006-02-09,05:38:19,79.806,124.049,11.0,3.0,M
2006-03-18,07:07:58,71.12,138.71,,1.4,M
2006-03-18,13:16:47,72.41,129.68,,2.2,M
2006-03-18,13:50:39,72.46,129.55,,1.8,M
2006-03-28,18:36:56,76.516,130.329,22.0,3.6,M
2006-04-03,15:18:10,73.7,132.8,,1.9,M
2006-04-03,15:38:43,73.5,132.7,,1.6,M
2006-04-12,19:21:41,70.8,140.3,,2.1,M
2006-04-14,09:09:57,70.73,131.76,,1.3,M
2006-04-28,01:17:33,70.7,131.5,,1.8,M
2006-05-15,14:36:12,70.7,127.0,,1.3,M
2006-05-18,16:12:10,72.69,123.87,,1.8,M
2006-05-19,03:45:53,70.55,132.0,,1.2,M
2006-05-23,07:51:52,71.3,134.2,,1.9,M
2006-05-25,11:25:18,72.85,130.61,,2.2,M
2006-06-09,01:26:55,74.021,137.419,33.0,2.8,M
2006-06-18,14:07:22,70.6,142.7,,2.1,M
2006-06-18,16:04:51,72.97,124.45,,2.3,M
2006-06-20,07:40:44,72.68,130.93,,2.0,M
2006-06-29,16:58:27,71.3,134.1,,1.8,M
2006-07-01,16:18:41,73.7,135.1,,2.1,M
2006-07-04,08:56:50,70.57,133.53,,1.6,M
2006-07-04,11:57:54,70.84,133.95,,1.6,M
2006-09-29,14:36:23,71.1,129.15,,3.1,M
2006-11-08,13:51:34,70.3,130.35,,1.2,M
2006-12-01,15:37:41,73.8,135.1,,1.7,M
2006-12-17,11:39:09,74.7,132.3,,3.1,M
2006-12-29,12:46:34,74.5,129.0,,2.2,M
2007-01-06,01:30:55,72.31,121.39,,2.9,M
2007-01-06,14:34:12,73.74,125.52,,3.2,M
2007-01-11,01:59:46,74.24,147.01,,4.0,M
2007-01-25,09:55:39,71.3,131.93,,2.1,M
2007-01-25,09:58:26,71.24,131.8,,2.8,M
2007-01-29,19:34:40,70.88,128.91,,1.9,M
2007-02-21,15:14:18,70.01,125.07,,1.7,M
2007-02-23,15:42:53,71.0,132.47,,1.7,M
2007-02-26,21:00:02,70.67,134.84,,2.1,M
2007-02-26,21:06:59,72.06,134.47,,2.0,M
2007-02-27,16:54:06,77.764,127.053,10.0,3.3,M
2007-03-08,17:39:33,72.04,124.86,,2.0,M
2007-03-09,01:17:59,71.11,131.16,,1.5,M
2007-03-09,01:58:05,70.63,131.2,,1.9,M
2007-03-09,04:17:57,70.11,126.41,,2.1,M
2007-03-14,08:51:08,77.699,126.251,14.0,2.4,M
2007-03-16,21:08:09,70.11,140.5,,4.3,M
2007-03-16,22:03:09,70.11,140.5,,1.4,M
2007-03-30,02:35:15,73.09,122.6,,2.7,M
2007-04-11,17:44:26,78.764,125.75,10.0,3.0,M
2007-04-12,03:10:18,70.76,129.95,,2.1,M
2007-04-12,03:26:49,70.76,129.9,,1.7,M
2007-04-12,03:28:13,70.84,130.04,,1.9,M
2007-04-12,03:40:14,70.72,129.87,,3.0,M
2007-04-12,03:42:44,70.75,129.87,,2.3,M
2007-04-12,04:35:33,70.67,129.74,,2.8,M
2007-04-12,09:37:12,70.66,129.66,,2.4,M
2007-04-13,06:56:31,70.72,129.71,,1.5,M
2007-06-06,14:21:27,72.74,125.51,,3.4,M
2007-06-09,21:59:27,70.03,130.16,,2.1,M
