longitude,latitude,magnitude
128.0,77.5,6.75
100.0,80.0,5.6
130.5124,70.5397,6.4
127.0,77.0,6.0
127.0,77.0,6.0
125.0,74.0,5.75
117.0,80.0,5.6
128.9387,70.2211,6.57
128.731,70.0937,6.73
128.0,70.5,6.0
128.0,70.5,6.25
126.0,70.0,5.6
129.9732,71.9745,5.4
113.421,75.5749,4.46
126.3361,78.0259,6.34
120.8,76.1,4.3
132.7739,74.5972,4.66
132.2177,78.3504,4.56
126.4711,77.9119,4.4
121.4373,79.8202,4.55
126.5035,76.8573,4.3
124.2681,76.0839,4.21
131.2626,76.4843,5.53
131.2876,76.5793,4.66
124.8722,77.3959,4.43
134.2656,75.0645,4.69
132.6,71.9,3.8
134.8486,73.2549,4.76
114.0,75.0,4.5
147.085,74.286,5.0
123.1526,73.1829,4.78
124.2488,79.248,4.31
127.147,70.767,5.2
126.228,78.041,4.8
136.058,71.24,4.3
124.4,72.8,3.3
141.2,74.3,3.8
130.845,76.893,4.7
134.379,75.22800000000002,5.0
146.695,74.145,4.2
122.5227,73.0967,5.4
120.3221,75.1381,4.35
126.4897,77.719,4.5
122.823,72.944,4.5
122.5931,75.4521,5.53
122.1326,75.5224,4.69
125.482,77.7502,4.56
135.0822,74.1571,5.02
134.6081,74.413,4.51
122.9974,79.92699999999998,4.69
126.5285,78.0619,5.13
111.2832,75.5686,4.65
125.1562,72.625,4.78
146.0367,76.1443,4.67
126.2354,78.8108,5.32
134.4253,76.3898,5.62
119.0494,73.6651,4.65
118.6337,73.5446,5.09
131.1687,74.6225,5.1
125.6397,77.5723,6.12
129.5464,76.4306,4.44
130.3,71.69,1.1
129.46,70.79,2.0
126.77,70.44,2.3
128.34,70.92,1.4
128.97,71.58,1.1
128.84,71.53,0.9
127.49,70.56,1.6
127.57,70.34,2.1
128.58,70.62,1.9
130.05,71.87,0.7
134.2724,76.0549,5.3
133.7663,76.0705,4.65
130.49,71.83,0.8
130.56,71.71,1.1
130.57,71.77,0.5
130.74,72.28,0.4
131.01,72.36,0.1
130.39,71.48,1.1
130.55,72.3,0.4
134.3548,76.5724,4.0
128.44,72.22,0.8
131.1,72.33,0.2
129.07,72.19,1.2
130.85,72.21,0.3
134.3712,76.1,4.58
133.6874,76.3192,4.34
134.6698,73.2911,5.51
113.096,75.092,5.1
134.2725,75.9895,4.29
126.8703,72.1393,5.3
126.74,72.17,5.0
123.7646,79.8123,4.8
124.1204,79.6393,4.8
127.006,79.3261,4.48
125.0062,75.9108,4.98
124.5021,79.1405,5.96
123.2295,78.8532,4.48
125.1401,79.421,3.88
125.638,78.873,5.5
124.4503,79.143,4.99
130.0173,71.6569,4.82
126.2422,78.1913,4.81
131.6524,77.0688,4.76
126.2579,77.9918,4.33
126.4101,77.6296,5.08
128.3065,71.7043,3.94
145.5634,76.2857,4.63
123.2509,79.3524,4.47
